,Municipio,Provincia,Comunidad Autónoma,Habitantes (2022),Carril Bici,Precios alquiler,Distancia a Madrid (km),"Tiempo medio 
de viaje a Madrid 
en coche",Tiempo medio de viaje a Madrid en tren o autobús,Distancia a Barcelona (km),"Tiempo medio 
de viaje a Barcelona 
en coche",Tiempo medio de viaje a Barcelona en tren o autobús,Aeropuerto Internacional más cercano,"Número de
conexiones del
aeropuerto internacional
más cercano",Distancia al aeropuerto internacional más cercano (km),Temperatura máxima media (ºC),Temperatura mínima media (ºC),Precio medio vivienda (EUR/m2),Patrimonio de la Humanidad,% días calidad del aire Buena,% días calidad del aire Razonablemente Buena,% días calidad del aire Regular,% días calidad del aire Desfavorable,% días calidad del aire Muy Desfavorable,% días calidad del aire Extremadamente Desfavorable,Ponderación calidad del aire,"Horas de Sol medias
anuales"
0,A Coruña,A Coruña,Galicia,244700,20.4,9.1,593,05:37:00,4 h 32 min,1084,11 h,12 h,A Coruña,9,11.6,24,7,2300,Sí,20,73,4,3,0,0,410,2453
1,Albacete,Albacete,Castilla-La Mancha,172357,24.4,7.1,260,02:34:00,1 h 37 min,545,5 h 22 min,5 h 25 min,"Alacant-Elx 
Miguel Hernández",119,169.0,33,0,1417,No,3,72,16,9,0,0,369,3282
2,Alcalá de Guadaíra,Sevilla,Andalucía,75917,N/D,6.6,531,05:09:00,3 h 29 min,995,9 h 50 min,12 h ,Sevilla,70,21.1,35,5,N/D,No,14,72,11,3,0,0,397,3526
3,Alcalá de Henares,Madrid,Madrid,196888,28,9.9,40,00:39:00,42 min,586,5 h 30 min,3 h 20 min,"Adolfo Suárez 
Madrid-Barajas",174,21.0,33,1,N/D,Sí,17,68,11,3,0,0,396,2691
4,Alcobendas,Madrid,Madrid,117041,53.8,12,24,00:25:00,22 min,613,5 h 47 min,3 h 49 min,"Adolfo Suárez 
Madrid-Barajas",174,9.1,33,0,N/D,No,22,67,8,3,0,0,408,2691
5,Alcorcón,Madrid,Madrid,170296,17.6,10.8,15,00:34:00,20 min,631,6 h 3 min,3 h 9 min,"Adolfo Suárez 
Madrid-Barajas",174,29.5,33,0,N/D,No,12,76,10,2,0,0,398,2691
6,Algeciras,Cádiz,Andalucía,122368,N/D,7.1,662,06:20:00,5 h 40 min,1106,11 h ,14 h,Jerez,16,107.0,28,11,N/D,No,13,80,4,2,0,0,401,3316
7,Alicante,Alicante,Comunidad Valenciana,338577,39.3,9.4,427,04:02:00,2 h 25 min,525,5 h 18 min,8 h,"Alacant-Elx 
Miguel Hernández",119,11.1,31,7,1705,No,32,62,5,0,0,0,423,3397
8,Almería,Almería,Andalucía,199237,40.2,7.6,551,05:15:00,10 h 5 min,803,7 h 55 min,12 h,Almería,19,8.6,30,8,1302,No,5,81,10,4,0,0,387,3305
9,Arona,Santa Cruz de Tenerife,Santa Cruz de Tenerife,82982,N/D,13.7,2029,1900-01-01 18:00:00,N/D,2504,46 h,N/D,Tenerife Sur,102,18.9,25,13,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3098
10,Avilés,Asturias,Asturias,75877,9.9,6.8,481,04:41:00,5 h,893,8 h 49 min,13 h,Asturias,24,14.5,22,7,N/D,No,6,84,7,4,0,0,395,1962
11,Badajoz,Badajoz,Extremadura,150146,N/D,6.7,404,03:44:00,4 h 28 min,1021,9 h 53 min,16 h,Sevilla,70,217.0,35,3,1374,No,33,59,6,2,0,0,423,3224
12,Badalona,Barcelona,Cataluña,223506,0.9,12.8,633,06:21:00,3 h 2 min,10,23 min,21 min,"Josep Tarradellas
Barcelona-El Prat",170,24.7,29,5,N/D,No,33,63,4,0,0,0,429,2453
13,Barakaldo,Bizkaia,País Vasco,100535,16,11.3,408,04:03:00,4 h 54 min,612,5 h 51 min,9 h 40 min,Bilbao,46,16.0,24,6,N/D,No,44,43,7,5,0,0,423,1694
14,Barcelona,Barcelona,Cataluña,1636193,14.1,18.4,623,06:15:00,2 h 45 min,0,0,0,"Josep Tarradellas
Barcelona-El Prat",170,12.6,28,5,4063,Sí,31,67,2,0,0,0,429,2453
15,Bilbao,Bizkaia,País Vasco,344127,9.8,13.3,401,03:59:00,4 h 28 min,605,5 h 44 min,10 h 10 min,Bilbao,46,12.1,24,5,3174,No,55,36,5,4,0,0,442,1694
16,Burgos,Burgos,Castilla y León,173483,34.6,7.9,248,02:37:00,2 h 24 min,602,5 h 46 min,4 h 48 min,Vitoria,3,122.0,27,-1,1642,Sí,80,17,2,1,0,0,476,2751
17,Cáceres,Cáceres,Extremadura,95456,53.4,6.3,297,02:50:00,3 h 3 min,914,8 h 51 min,11 h 29 min,Sevilla,70,269.0,34,1,1220,Sí,23,63,11,3,0,0,406,3365
18,Cádiz,Cádiz,Andalucía,113066,N/D,10.5,647,05:59:00,4 h 32 min,1109,10 h 49 min,12 h ,Jerez,16,42.3,29,8,2548,No,10,77,10,3,0,0,394,3316
19,Cartagena,Murcia,Murcia,216961,20.7,6.7,453,04:17:00,4 h 37 min,626,6 h 9 min,9 h 30 min,Región de Murcia,15,32.1,29,6,N/D,No,8,80,9,4,0,0,395,3348
20,Castelló de la Plana,Castellón,Comunidad Valenciana,171857,50,7.1,460,04:17:00,3 h 29 min,278,2 h 56 min,2 h 20 min,Castelló,11,33.1,28,7,1214,No,41,58,2,0,0,0,443,3321
21,Ceuta,Ceuta,Ceuta,83117,1.2,N/D,704,08:34:00,13 h,1171,13 h 20 min,18 h,Jerez,16,149.0,27,11,2204,No,12,75,12,0,0,0,396,N/D
22,Chiclana de la Frontera,Cádiz,Andalucía,87493,12.9,8.6,656,06:07:00,5 h 17 min,1118,10 h 58 min,17 h,Jerez,16,52.6,29,8,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3316
23,Córdoba,Córdoba,Andalucía,319515,41.6,7,396,03:52:00,1 h 52 min,860,8 h 23 min,4 h 52 min,Sevilla,70,137.0,36,4,1441,Sí,24,59,8,9,1,0,399,3316
24,Cornellà de Llobregat,Barcelona,Cataluña,89039,47.2,13.7,616,06:00:00,2 h 53 min,17,27 min,10 min,"Josep Tarradellas
Barcelona-El Prat",170,8.4,29,5,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2453
25,Coslada,Madrid,Madrid,80596,13.6,10.6,16,00:25:00,20 min,606,5 h 46 min,2 h 55 min,"Adolfo Suárez 
Madrid-Barajas",174,6.7,33,1,N/D,No,14,68,12,5,1,0,389,2691
26,Dos Hermanas,Sevilla,Andalucía,137561,N/D,7.7,544,05:03:00,3 h 31 min,1000,9 h 49 min,11 h 24 min,Sevilla,70,20.4,35,5,N/D,No,28,57,5,0,0,0,383,3526
27,El Ejido,Almería,Andalucía,87500,N/D,6.2,552,05:14:00,8 h 40 min,830,8 h 15 min,11 h 8 min,Almería,19,51.1,30,9,N/D,No,11,74,10,5,0,0,391,3305
28,El Puerto de Santa María,Cádiz,Andalucía,89435,100.6,9.5,638,06:03:00,4 h 7 min,1100,10 h 52 min,11 h,Jerez,16,28.7,30,7,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3316
29,Elche,Alicante,Comunidad Valenciana,235580,11,6.5,423,03:58:00,3 h 11 min,529,5 h 16 min,8 h 30 min,"Alacant-Elx 
Miguel Hernández",119,19.2,31,6,N/D,Sí,25,71,4,0,0,0,421,3397
30,Fuengirola,Málaga,Andalucía,83226,5.4,11.5,558,05:16:00,3 h 53 min,1025,10 h 6 min,12 h,Málaga-Costa del Sol,137,25.4,29,9,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3248
31,Fuenlabrada,Madrid,Madrid,189891,9.5,9.9,25,00:28:00,25 min,638,6 h 3 min,3 h 1 min,"Adolfo Suárez 
Madrid-Barajas",174,34.3,33,0,N/D,No,14,74,9,3,0,0,399,2691
32,Gandia,Valencia,Comunidad Valenciana,75911,14.5,6.9,436,04:11:00,4 h 2 min,429,4 h 17 min,5 h 45 min,València,89,76.9,30,7,N/D,No,38,60,2,0,0,0,436,2808
33,Getafe,Madrid,Madrid,183219,40.4,11.1,16,00:24:00,17 min,630,5 h 58 min,2 h 56 min,"Adolfo Suárez 
Madrid-Barajas",174,25.9,33,0,N/D,No,15,70,11,4,0,0,396,2691
34,Getxo,Bizkaia,País Vasco,76365,41.9,12.5,415,04:05:00,4 h 47 min,619,5 h 54 min,8 h 59 min,Bilbao,46,18.8,24,6,N/D,Sí,52,37,6,3,0,0,432,1694
35,Gijón,Asturias,Asturias,267706,22.4,8.5,466,04:25:00,5 h 55 min,869,8 h 28 min,13 h,Asturias,24,41.8,23,7,N/D,No,2,68,18,13,0,0,362,1962
36,Girona,Girona,Cataluña,102666,24.9,11,692,06:50:00,3 h 44 min,102,1 h 20 min,38 min,"Girona-
Costa Brava",17,15.5,31,2,2226,No,93,7,0,0,0,0,493,2800
37,Granada,Granada,Andalucía,228682,32.8,9,418,04:04:00,3 h 51 min,855,8 h 36 min,12 h,Federico García Lorca-Granada,8,17.5,34,0,1931,Sí,16,64,10,9,0,0,384,3228
38,Guadalajara,Guadalajara,Castilla-La Mancha,87452,35.4,7.8,66,00:53:00,45 min,560,5 h 15 min,3 h 38 min,"Adolfo Suárez 
Madrid-Barajas",174,46.6,32,0,1521,No,21,68,7,4,1,0,407,2900
39,Huelva,Huelva,Andalucía,141854,40.2,7.7,612,05:34:00,4 h 22 min,1087,10 h 46 min,14 h,Sevilla,70,102.0,31,7,1227,No,46,46,6,2,0,0,436,3527
40,Jaén,Jaén,Andalucía,111669,N/D,7.1,332,03:14:00,3 h 13 min,796,7 h 36 min,12 h,Federico García Lorca-Granada,8,95.5,36,1,1094,Sí,8,70,16,5,1,0,379,3289
41,Jerez de la Frontera,Cádiz,Andalucía,212730,14.6,7.7,618,05:37:00,3 h 58 min,1080,10 h 39 min,11 h 42 min,Jerez,16,11.5,32,6,N/D,No,15,71,13,1,0,0,400,3316
42,L'Hospitalet de Llobregat,Barcelona,Cataluña,265444,N/D,14.5,620,06:08:00,2 h 50 min,6,22 min,6 min,"Josep Tarradellas
Barcelona-El Prat",170,9.8,29,5,N/D,No,17,73,7,3,0,0,404,2453
43,Las Palmas de Gran Canaria,Las Palmas,Las Palmas,378797,6.6,11.1,1928,1900-01-01 13:00:00,N/D,2546,42 h,N/D,Gran Canaria,127,25.2,27,16,2119,No,16,65,7,8,2,2,379,2800
44,Las Rozas de Madrid,Madrid,Madrid,95725,16.4,12.6,20,00:23:00,32 min,638,6 h 5 min,3 h 38 min,"Adolfo Suárez 
Madrid-Barajas",174,30.4,33,0,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2691
45,Leganés,Madrid,Madrid,186660,16.1,10.6,20,00:27:00,18 min,630,6 h 3 min,2 h 59 min,"Adolfo Suárez 
Madrid-Barajas",174,28.0,33,0,N/D,No,12,71,12,5,0,0,390,2691
46,León,León,Castilla y León,120951,18.2,6.8,340,03:25:00,2 h 12 min,777,7 h 28 min,12 h,Valladolid,6,129.0,27,0,1318,Sí,58,33,5,3,0,0,443,
47,Lleida,Lleida,Cataluña,140797,26.3,7.8,468,04:30:00,2 h 11 min,160,1 h 52 min,1 h 5 min,Reus,14,88.0,33,1,1122,No,93,6,0,0,0,0,489,
48,Logroño,La Rioja,La Rioja,150020,9.7,7.6,334,03:51:00,3 h 52 min,473,4 h 33 min,7 h 35 min,Vitoria,3,98.0,30,2,1608,No,38,58,3,1,0,0,433,2708
49,Lorca,Murcia,Murcia,97151,30,5.4,467,04:23:00,8 h 5 min,645,6 h 22 min,11 h 25 min,Región de Murcia,15,68.0,32,2,N/D,No,12,63,16,8,0,0,376,3348
50,Lugo,Lugo,Galicia,97211,14.4,6.3,500,04:52:00,4 h 53 min,991,9 h 52 min,14 h,A Coruña,9,102.0,27,2,1230,Sí,28,62,5,4,0,0,411,
51,Madrid,Madrid,Madrid,3280782,8.3,16.2,0,00:00:00,0 min,623,6 h 7 min,2 h 30 min,"Adolfo Suárez 
Madrid-Barajas",174,15.6,33,0,3935,Sí,15,66,5,10,3,1,377,2691
52,Málaga,Málaga,Andalucía,579076,7.8,11.9,535,05:13:00,2 h 44 min,1002,10 h 4 min,11 h 32 min,Málaga-Costa del Sol,137,9.8,31,7,2390,No,15,66,11,9,0,0,390,3248
53,Manresa,Barcelona,Cataluña,77452,N/D,7.5,576,05:33:00,4 h 11 min,58,1 h ,1 h 23 min,"Josep Tarradellas
Barcelona-El Prat",170,64.6,31,1,N/D,No,94,6,0,0,0,0,494,2453
54,Marbella,Málaga,Andalucía,150725,6.7,15.1,584,05:41:00,3 h 59 min,1051,10 h 22 min,13 h,Málaga-Costa del Sol,137,52.2,29,9,N/D,No,35,62,3,0,0,0,432,3248
55,Mataró,Barcelona,Cataluña,128956,11.6,10.6,651,06:30:00,3 h 25 min,31,36 min,44 min,"Josep Tarradellas
Barcelona-El Prat",170,46.9,29,4,N/D,No,21,71,7,0,0,0,410,2453
56,Melilla,Melilla,Melilla,85170,N/D,9.7,665,11:31:00,15 h,1084,16 h ,18 h,Málaga-Costa del Sol,137,284.0,30,10,1856,No,5,76,15,4,0,0,382,N/D
57,Mijas,Málaga,Andalucía,89502,6.7,11.2,558,05:17:00,4 h 32 min,1025,10 h 6 min,13 h,Málaga-Costa del Sol,137,26.3,27,7,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3248
58,Móstoles,Madrid,Madrid,208761,N/D,9.9,22,00:28:00,40 min,639,6 h 10 min,3 h 17 min,"Adolfo Suárez 
Madrid-Barajas",174,35.1,33,0,N/D,No,20,69,7,3,0,0,403,2691
59,Murcia,Murcia,Murcia,462979,19.6,7.6,405,03:44:00,3 h 38 min,583,5 h 41 min,9 h 45 min,Región de Murcia,15,27.1,33,4,1166,Sí,10,69,13,8,0,0,381,3348
60,Orihuela,Alicante,Comunidad Valenciana,80784,N/D,7.9,428,04:04:00,4 h 17 min,561,5 h 35 min,10 h 5 min,"Alacant-Elx 
Miguel Hernández",119,50.0,32,5,N/D,No,55,44,2,,0,0,457,3397
61,Ourense,Ourense,Galicia,103756,N/D,6.5,499,04:42:00,2 h 45 min,1053,10 h 18 min,11 h 46 min,Vigo,8,89.0,29,5,1458,No,30,63,4,3,0,0,420,2800
62,Oviedo,Asturias,Asturias,215167,N/D,8.3,448,04:17:00,5 h 25 min,886,8 h 40 min,12 h,Asturias,24,46.7,23,5,1636,Sí,14,66,9,11,0,0,383,1962
63,Palencia,Palencia,Castilla y León,76302,21.6,6.5,260,02:39:00,1 h 27 min,688,6 h 40 min,4 h 41 min,Valladolid,6,58.4,29,0,1278,No,22,70,6,2,0,0,412,N/D
64,Palma,Illes Balears,Illes Balears,415940,27.6,13.7,704,12:30:00,21 h,276,8 h 27 min,7 h 56 min,Palma de Mallorca,125,9.3,31,5,3531,No,9,61,14,14,1,0,360,3098
65,Pamplona,Navarra,Navarra,203418,33,10.1,396,04:10:00,3 h 43 min,480, 4 h 40 min,4 h 20 min,Vitoria,3,102.0,28,0,2539,No,27,69,4,1,0,0,425,2285
66,Parla,Madrid,Madrid,130577,7.7,9.1,26,00:32:00,26 min,638,6 h 7 min,3 h ,"Adolfo Suárez 
Madrid-Barajas",174,35.9,33,0,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2691
67,Pontevedra,Pontevedra,Galicia,82828,6.5,7.4,614,05:53:00,4 h 34 min,1167,11 h 30 min,13 h ,Vigo,8,30.4,26,7,1860,No,54,43,2,1,0,0,450,3031
68,Pozuelo de Alarcón,Madrid,Madrid,87728,19.4,12.9,15,00:21:00,33 min,633,6 h 1 min,3 h 17 min,"Adolfo Suárez 
Madrid-Barajas",174,25.6,33,0,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2691
69,Reus,Tarragona,Cataluña,106741,18.7,7.9,545,05:21:00,3 h 54 min,108,1 h 20 min,1 h 38 min,Reus,14,4.3,29,3,N/D,No,41,57,2,0,0,0,439,2820
70,Rivas-Vaciamadrid,Madrid,Madrid,96690,N/D,9.8,19,00:26:00,25 min,615,5 h 49 min,3 h 37 min,"Adolfo Suárez 
Madrid-Barajas",174,19.8,34,1,N/D,No,21,67,8,3,0,0,403,2691
71,Roquetas de Mar,Almería,Andalucía,102881,N/D,7,564,05:26:00,11 h 25 min,816,8 h 7 min,14 h,Almería,19,37.1,30,9,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3305
72,Rubí,Barcelona,Cataluña,79007,N/D,11.4,611,06:02:00,3 h 48 min,24,26 min,1 h 20 min,"Josep Tarradellas
Barcelona-El Prat",170,28.8,29,2,N/D,No,27,66,6,0,0,0,417,2453
73,Sabadell,Barcelona,Cataluña,215760,78.8,10.6,623,06:11:00,3 h 15 min,26,35 min,36 min,"Josep Tarradellas
Barcelona-El Prat",170,38.0,29,2,N/D,No,78,21,0,0,0,0,474,2453
74,Salamanca,Salamanca,Castilla y León,142412,31.5,8.6,214,02:16:00,1 h 40 min,832,8 h 8 min,11 h 19 min,Valladolid,6,127.0,30,0,1752,Sí,77,18,3,2,0,0,470,3262
75,San Cristóbal de La Laguna,Santa Cruz de Tenerife,Santa Cruz de Tenerife,157815,2.7,8,1960,1900-01-01 18:00:00,N/D,2434,46 h,N/D,Tenerife Norte-La Laguna,24,3.3,24,12,N/D,Sí,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3098
76,San Fernando,Cádiz,Andalucía,94120,21.2,7.7,649,03:59:00,4 h 21 min,1111,10 h 53 min,12 h,Jerez,16,45.3,29,8,N/D,No,11,76,12,1,0,0,397,3316
77,San Sebastián,Gipuzkoa,País Vasco,187849,37.4,15.7,457,04:33:00,5 h 44 min,565,5 h 40 min,8 h 35 min,Bilbao,46,99.0,25,6,5191,No,48,45,3,4,0,0,437,1906
78,San Sebastián de los Reyes,Madrid,Madrid,91083,33.7,11.7,30,00:31:00,34 min,612,5 h 48 min,3 h 44 min,"Adolfo Suárez 
Madrid-Barajas",174,10.5,33,0,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2691
79,Sant Boi de Llobregat,Barcelona,Cataluña,83371,N/D,11.3,618,06:04:00,3 h 10 min,16,27 min,31 min,"Josep Tarradellas
Barcelona-El Prat",170,10.1,29,5,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2453
80,Sant Cugat del Vallès,Barcelona,Cataluña,95725,52,14.2,614,06:08:00,3 h 42 min,19,30 min,1 h ,"Josep Tarradellas
Barcelona-El Prat",170,25.6,29,3,N/D,No,52,44,3,0,0,0,445,2453
81,Santa Coloma de Gramenet,Barcelona,Cataluña,117981,2.5,12.5,627,06:10:00,3 h 10 min,9,20 min,22 min,"Josep Tarradellas
Barcelona-El Prat",170,23.2,29,4,N/D,No,75,25,0,0,0,0,475,2453
82,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife,208688,3.3,9.6,1950,1900-01-01 17:00:00,N/D,2425,45 h,N/D,Tenerife Norte-La Laguna,24,12.0,28,15,1716,No,9,72,6,7,2,4,367,3098
83,Santander,Cantabria,Cantabria,171693,19.2,9.3,455,04:19:00,5 h 53 min,703,6 h 50 min,9 h 45 min,"Seve Ballesteros-
Santander",23,5.6,23,6,1998,No,43,50,4,2,0,0,431,1639
84,Santiago de Compostela,A Coruña,Galicia,98179,N/D,8.2,600,05:37:00,3 h 22 min,1085,11 h ,13 h,Santiago-Rosalía de Castro,33,14.2,25,5,N/D,Sí,35,61,3,1,0,0,430,2453
85,Sevilla,Sevilla,Andalucía,681998,27.6,10.6,530,05:02:00,2 h 42 min,994,9 h 58 min,11 h 6 min,Sevilla,70,8.8,36,6,2151,No,43,53,4,0,0,0,439,3526
86,Talavera de la Reina,Toledo,Castilla-La Mancha,83247,12,5.8,123,01:18:00,1 h 20 min,741,7 h 8 min,9 h 49 min,"Adolfo Suárez 
Madrid-Barajas",174,139.0,35,2,N/D,Sí,28,60,7,4,0,0,409,2815
87,Tarragona,Tarragona,Cataluña,134883,N/D,9.2,552,05:21:00,4 h 16 min,98,1 h 14 min,1 h 15 min,Reus,14,10.9,29,5,1828,Sí,32,62,6,0,0,0,426,2820
88,Telde,Las Palmas,Las Palmas,102472,N/D,8.2,1945,1900-01-01 13:00:00,N/D,2563,43 h,N/D,Gran Canaria,127,10.9,26,15,N/D,No,18,69,4,5,1,2,389,
89,Terrassa,Barcelona,Cataluña,224114,8.3,10.2,620,06:00:00,3 h 26 min,28,37 min,47 min,"Josep Tarradellas
Barcelona-El Prat",170,34.8,29,1,N/D,No,73,26,1,0,0,0,472,2453
90,Toledo,Toledo,Castilla-La Mancha,85085,36.4,7.9,75,00:56:00,1 h,686,6 h 37 min,3 h 45 min,"Adolfo Suárez 
Madrid-Barajas",174,84.0,34,1,1422,Sí,19,68,9,4,0,0,402,2815
91,Torrejón de Ardoz,Madrid,Madrid,134733,11.7,10.4,32,00:34:00,29 min,594,5 h 37 min,3 h 8 min,"Adolfo Suárez 
Madrid-Barajas",174,12.9,33,1,N/D,No,18,68,9,4,0,0,397,2691
92,Torrente,Valencia,Comunidad Valenciana,85142,11.7,8.1,352,03:48:00,2 h 17 min,365,3 h 41 min,3 h 24 min,València,89,11.6,31,6,N/D,No,31,63,5,2,0,0,426,2808
93,Torrevieja,Alicante,Comunidad Valenciana,83547,N/D,8.8,460,04:25:00,4 h 53 min,571,5 h 41 min,10 h 30 min,"Alacant-Elx 
Miguel Hernández",119,43.9,29,6,N/D,No,14,71,12,2,0,0,394,3397
94,Valdemoro,Madrid,Madrid,79100,1.3,9.3,30,00:29:00,30 min,636,6 h ,3 h 22 min,"Adolfo Suárez 
Madrid-Barajas",174,35.3,33,0,1826,No,11,74,11,4,0,0,392,2691
95,València,Valencia,Comunidad Valenciana,792492,20.4,11.3,356,03:50:00,2 h ,348,3 h 34 min,3 h ,València,89,10.3,30,6,2122,Sí,17,69,9,5,0,0,398,2808
96,Valladolid,Valladolid,Castilla y León,295639,36.2,7.4,191,02:25:00,1 h 5 min,724,7 h 6 min,4 h ,Valladolid,6,14.3,30,1,1578,No,48,43,5,3,0,0,433,3016
97,Vélez-Málaga,Málaga,Andalucía,83899,N/D,7.7,534,05:05:00,4 h 45 min,965,9 h 48 min,13 h,Málaga-Costa del Sol,137,49.8,31,7,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3248
98,Vigo,Pontevedra,Galicia,292374,16.4,9.5,591,05:40:00,5 h 6 min,1144,11 h 18 min,15 h ,Vigo,8,13.5,26,7,N/D,No,27,66,4,2,0,0,415,3031
99,Vitoria-Gasteiz,Álava,País Vasco,253672,49.6,10.9,364,03:42:00,3 h 11 min,527,5 h 28 min,6 h 15 min,Vitoria,3,12.0,26,1,2515,No,59,35,3,3,0,0,450,2147
100,Zaragoza,Zaragoza,Aragón,673010,20,8.9,319,03:24:00,1 h 27 min,308,3 h 8 min,1 h 52 min,Zaragoza,16,13.1,33,3,1714,Sí,36,63,2,0,0,0,438,2602
